18-1654,B2R843,NCT4511,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB005043,4D56AAT3525,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1173,1173,1172,323178693,10-Aug-2018,002018147722464,9-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,3-Aug,186679,CE0003,CE0003.7,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,No,c/o sir jun,3-Aug-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019722-00-D,2-Aug-18,3-Aug-18,3-Aug-21,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0020072-00-D,7-Aug-18,3-Aug-18,3-Aug-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000940-00,275303,4-Aug-20,3-Aug-20,3-Aug-21,
18-1655,B2R836,NCT4508,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB005036,4D56AAT3518,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1173,1173,1172,323178660,10-Aug-2018,002018147722461,9-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,3-Aug,186870,CE0003,CE0003.6,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,3-Aug-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019719-00-D,2-Aug-18,3-Aug-18,3-Aug-21,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0020060-00-D,7-Aug-18,3-Aug-18,3-Aug-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000934-00,275302,4-Aug-20,3-Aug-20,3-Aug-21,
18-1656,B2R844,NCT4507,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB005044,4D56AAT3526,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1173,1173,1172,323178656,10-Aug-2018,002018147722460,9-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,3-Aug,186871,CE0003,CE0003.11,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,No,c/o sir jun,3-Aug-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019711-00-D,2-Aug-18,3-Aug-18,3-Aug-21,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019962-00-D,6-Aug-18,3-Aug-18,3-Aug-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000933-00,275301,4-Aug-20,3-Aug-20,3-Aug-21,
18-1657,B2R812,NCT4506,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB005012,4D56AAT3494,,Diesel,Manual,UTility Vehicle,2477,4,FiberHome,2 pax,2345,1173,1173,1172,323178645,10-Aug-2018,002018147722459,9-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Camanava,Yes,No,Marikina,3-Aug,186672,CE0003,CE0003.3,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,3-Aug-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019708-00-D,2-Aug-18,3-Aug-18,3-Aug-21,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019955-00-D,6-Aug-18,3-Aug-18,3-Aug-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000932-00,275300,4-Aug-20,3-Aug-20,3-Aug-21,
18-1658,B2R851,NCT4505,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB005051,4D56AAT3533,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1173,1173,1172,323178634,10-Aug-2018,002018147722458,9-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,3-Aug,186867,CE0003,CE0003,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,3-Aug-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019707-00-D,2-Aug-18,3-Aug-18,3-Aug-21,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019948-00-D,6-Aug-18,3-Aug-18,3-Aug-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000931-00,275299,4-Aug-20,3-Aug-20,3-Aug-21,
18-1659,B2R420,NCT4233,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB004620,4D56AAT3102,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1172,1172,1173,323149201,6-Aug-2018,002018146368991,6-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,31-Jul,186680,CE0001,CE0001.6,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,31-Jul-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019382-00-D,31-Jul-18,31-Jul-18,31-Jul-21,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019477-00-D,1-Aug-18,31-Jul-18,31-Jul-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000838-00,275298,10-Jul-20,31-Jul-20,31-Jul-21,
18-1660,B2R758,NCT4240,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB004958,4D56AAT3440,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1172,1172,1173,323149271,6-Aug-2018,002018146368998,6-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,31-Jul,186676,CE0001,CE0001.2,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,31-Jul-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019364-00-D,31-Jul-18,31-Jul-18,31-Jul-21,Pioneer Insurance & Surety Corporation,MC-PO-HO-18-0019469-00-D,1-Aug-18,31-Jul-18,31-Jul-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000840-00,275305,10-Jul-20,31-Jul-20,31-Jul-21,
18-1661,B2R785,NCT4236,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB004985,4D56AAT3467,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1172,1172,1173,323149234,6-Aug-2018,002018146368994,6-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,31-Jul,186673,CE0001,CE0001.8,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,31-Jul-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019376-00-D,31-Jul-18,31-Jul-18,31-Jul-21,Pioneer Insurance & Surety Corporation,MC-PO-HO-18-0019473-00-D,1-Aug-18,31-Jul-18,31-Jul-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000844-00,275309,13-Jul-20,31-Jul-20,31-Jul-21,
18-1662,B2R816,NCT4238,Mitsubishi,2018,L300 Exceed 2.5D MT,L300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB005016,4D56AAT3498,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1172,1172,1173,323149256,6-Aug-2018,002018146368996,6-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,31-Jul,186677,CE0001,CE0001.5,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,31-Jul-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019368-00-D,31-Jul-18,31-Jul-18,31-Jul-21,Pioneer Insurance & Surety Corporation,MC-PO-HO-18-0019471-00-D,1-Aug-18,31-Jul-18,31-Jul-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000842-00,275307,10-Jul-20,31-Jul-20,31-Jul-21,
18-1663,B2R832,NCT4234,Mitsubishi,2018,L300 Exceed 2.5D MT,l300 Exceed C/C,HSPUR,Polar White,Diamond Motor Corporation,CS-MARIKINA NCLSP-2018-124,23-Oct,Centro,Centro,PAEL65NYHJB005032,4D56AAT3514,,Diesel,Manual,Utility Vehicle,2477,4,FiberHome,2 pax,2345,1172,1172,1173,323149212,6-Aug-2018,002018146368992,6-Aug-2018,Yes,Quezon City District Office,11/21/2019,Marikina,Marikina,,,Marikina,31-Jul,186861,CE0001,CE0001.3,No Bidding Docs,No Bidding Docs,No Bidding Docs,FH/PH-2018-002-301806,NO RECEIVING COPY,no receiving copy found,Yes,c/o sir jun,31-Jul-2018,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,NO RECEIVING COPY,N/A,Pioneer Insurance & Surety Corporation,MC-PC-HO-18-0019379-00-D,31-Jul-18,31-Jul-18,31-Jul-21,Pioneer Insurance & Surety Corporation,MC-PO-HO-18-0019475-00-D,1-Aug-18,31-Jul-18,31-Jul-19,"The Mercantile Insurance Co., Inc.",MC-CVSPL-HO-20-0000848-00,275311,13-Jul-20,31-Jul-20,31-Jul-21,
